loja,mercado,idioma,moeda,mes,data_envio,campanha,papel,segmento_ampliado,modelo,estrutura,altura_px,desconto_pct,envios,aberturas,cliques,pedidos,receita,descadastros,spam,abertura_pct,clique_pct,clique_em_pedido_pct,receita_por_mil_envios,indice,descadastro_pct
Blue Wolf,Global,en,USD,jun,17/06,Semana Copa 2,tematica,nao,imagem,,,,13599,5107,418,12,896.49,88,2,37.6,3.07,2.9,65.9,1.51,0.65
Blue Wolf,Global,en,USD,jun,19/06,Album figurinha,gamificada,nao,imagem,,,,13681,4983,219,6,513.06,43,3,36.4,1.6,2.7,37.5,0.86,0.31
Blue Wolf,Global,en,USD,jun,26/06,Social proof,prova,nao,imagem,,,,13790,4013,143,5,343.9,48,4,29.1,1.04,3.5,24.9,0.57,0.35
Blue Wolf,Global,en,USD,jul,01/07,Antecip 7.7 #1 convite,esquenta,nao,imagem,B,2514,,13961,5728,343,8,653.83,97,6,41.0,2.46,2.3,46.8,1.07,0.69
Blue Wolf,Global,en,USD,jul,03/07,Antecip 7.7 #2 agenda,esquenta,nao,imagem,B,3133,,13937,6171,265,14,1171.42,97,7,44.3,1.9,5.3,84.1,1.93,0.7
Blue Wolf,Global,en,USD,jul,06/07,Antecip 7.7 #3 acesso pendente,vespera,nao,texto,D,,,13760,5390,215,7,874.32,115,3,39.2,1.56,3.3,63.5,1.46,0.84
Blue Wolf,Global,en,USD,jul,07/07 07h,7.7 #1 cupom aprovado,pico1,nao,texto,D,,17,13698,5507,201,6,336.88,91,3,40.2,1.47,3.0,24.6,0.56,0.66
Blue Wolf,Global,en,USD,jul,07/07 11h,7.7 #2 role ate o fim,pico2,nao,imagem,,3414,17,13679,4528,174,12,737.68,70,3,33.1,1.27,6.9,53.9,1.24,0.51
Blue Wolf,Global,en,USD,jul,07/07 18h,7.7 #3 final call,pico3,nao,imagem,A,3178,17,13629,5288,417,14,1435.34,94,1,38.8,3.06,3.4,105.3,2.42,0.69
Blue Wolf,Global,en,USD,jul,15/07,Favoritos do 7.7,ressaca,nao,imagem,,2520,,15714,5773,502,14,1120.67,94,5,36.7,3.19,2.8,71.3,1.64,0.6
Blue Wolf,Global,en,USD,jul,18/07,Final Copa,tematica,nao,imagem,,3154,,15542,5408,357,13,862.76,72,6,34.8,2.3,3.6,55.5,1.27,0.46
Blue Wolf,Global,en,USD,jul,20/07,Revele seu desconto,gamificada,nao,imagem,A,2169,15,15575,5572,258,18,1066.14,99,5,35.8,1.66,7.0,68.5,1.57,0.64
Blue Wolf,Global,en,USD,jul,22/07,Jornal,notificacao,nao,imagem,A,2469,15,15606,5515,318,15,1122.53,100,4,35.3,2.04,4.7,71.9,1.65,0.64
